Número;Data;Mandante;Visitantes;Gols Mandante;Gol Visitante;Gols Penalti Mandante;Gols Penalti Visitante;Resultado;Campeonato;Estádio;Gols Grêmio;Gols Inter;Campo
100;30/05/1948;Grêmio;Inter;0;0;;;Empate;Amistoso;Timbaúva;0;0;Outros
101;20/06/1948;Grêmio;Inter;1;1;;;Empate;Amistoso;Montanha;1;1;Outros
102;18/07/1948;Grêmio;Inter;2;6;;;Inter;Amistoso;Montanha;2;6;Outros
103;22/08/1948;Inter;Grêmio;3;2;;;Inter;Citadino Porto Alegre;Eucaliptos;2;3;Eucaliptos
104;17/09/1948;Grêmio;Inter;0;7;;;Inter;Citadino Porto Alegre;Baixada;0;7;Baixada
105;14/12/1948;Inter;Grêmio;2;0;;;Inter;Amistoso;Eucaliptos;0;2;Eucaliptos
106;01/05/1949;Grêmio;Inter;2;2;;;Empate;Amistoso;Montanha;2;2;Outros
107;29/05/1949;Grêmio;Inter;2;4;;;Inter;Amistoso;Timbaúva;2;4;Outros
108;28/08/1949;Grêmio;Inter;1;1;;;Empate;Citadino Porto Alegre;Baixada;1;1;Baixada
109;07/09/1949;Grêmio;Inter;0;2;;;Inter;Amistoso;Montanha;0;2;Outros
110;30/10/1949;Inter;Grêmio;0;1;;;Grêmio;Citadino Porto Alegre;Eucaliptos;1;0;Eucaliptos
111;14/03/1950;Inter;Grêmio;2;0;;;Inter;Amistoso;Tiradentes;0;2;Outros
112;23/03/1950;Grêmio;Inter;3;0;;;Grêmio;Amistoso;Tiradentes;3;0;Outros
113;01/04/1950;Grêmio;Inter;1;1;;;Empate;Amistoso;Timbaúva;1;1;Outros
114;25/06/1950;Inter;Grêmio;0;1;;;Grêmio;Amistoso;Eucaliptos;1;0;Eucaliptos
115;27/08/1950;Grêmio;Inter;0;1;;;Inter;Amistoso;Montanha;0;1;Outros
116;28/10/1950;Inter;Grêmio;0;0;;;Empate;Citadino Porto Alegre;Eucaliptos;0;0;Eucaliptos
117;24/12/1950;Grêmio;Inter;0;0;;;Empate;Citadino Porto Alegre;Baixada;0;0;Baixada
118;27/12/1950;Grêmio;Inter;3;4;;;Inter;Citadino Porto Alegre;Montanha;3;4;Outros
119;30/12/1950;Grêmio;Inter;0;1;;;Inter;Citadino Porto Alegre;Montanha;0;1;Outros
120;03/01/1951;Grêmio;Inter;0;3;;;Inter;Amistoso;Montanha;0;3;Outros
121;27/05/1951;Grêmio;Inter;0;0;;;Empate;Amistoso;Baixada;0;0;Baixada
122;20/06/1951;Inter;Grêmio;1;2;;;Grêmio;Amistoso;Eucaliptos;2;1;Eucaliptos
123;26/08/1951;Grêmio;Inter;1;1;;;Empate;Citadino Porto Alegre;Baixada;1;1;Baixada
124;02/12/1951;Inter;Grêmio;2;2;;;Empate;Citadino Porto Alegre;Eucaliptos;2;2;Eucaliptos
